"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Montgomery","Montgomery","1469","66","53","4","0.044928522804629",2020-08-19
"Muscatine","Muscatine","7353","901","744","48","0.122535019719842",2020-08-19
"O'Brien","O'Brien","2112","154","120","6","0.0729166666666667",2020-08-19
"Osceola","Osceola","698","90","75","0","0.128939828080229",2020-08-19
"Page","Page","2133","104","95","0","0.0487576183778715",2020-08-19
"Palo Alto","Palo Alto","1579","104","64","0","0.0658644711842939",2020-08-19
"Pending Investigation","Pending Investigation","6729","3","0","0","0.000445831475702185",2020-08-19
"Plymouth","Plymouth","4416","541","394","13","0.122509057971014",2020-08-19
"Pocahontas","Pocahontas","1278","122","108","2","0.0954616588419405",2020-08-19
"Polk","Polk","96692","11144","8634","212","0.115252554502958",2020-08-19
"Pottawattamie","Pottawattamie","16507","1454","1115","30","0.0880838432180287",2020-08-19
"Poweshiek","Poweshiek","2315","168","127","8","0.0725701943844492",2020-08-19
"Ringgold","Ringgold","772","25","21","1","0.0323834196891192",2020-08-19
"Sac","Sac","1827","93","74","0","0.0509031198686371",2020-08-19
"Scott","Scott","27313","1889","1423","17","0.0691612052868597",2020-08-19
"Shelby","Shelby","1759","195","180","1","0.11085844229676",2020-08-19
"Sioux","Sioux","4913","710","548","3","0.144514553226135",2020-08-19
"Story","Story","21610","1424","1022","16","0.0658954187875983",2020-08-19
"Tama","Tama","3500","564","486","29","0.161142857142857",2020-08-19
"Taylor","Taylor","952","104","91","0","0.109243697478992",2020-08-19
"Union","Union","2334","89","56","3","0.0381319622964867",2020-08-19
"Van Buren","Van Buren","814","42","22","1","0.0515970515970516",2020-08-19
"Wapello","Wapello","6282","969","835","38","0.154250238777459",2020-08-19
"Warren","Warren","9011","611","442","3","0.0678060148707136",2020-08-19
"Washington","Washington","3356","312","284","10","0.0929678188319428",2020-08-19
"Wayne","Wayne","567","26","18","2","0.0458553791887125",2020-08-19
"Webster","Webster","7837","893","662","8","0.113946663264004",2020-08-19
"Winnebago","Winnebago","2009","119","65","1","0.0592334494773519",2020-08-19
"Winneshiek","Winneshiek","2701","118","84","1","0.0436875231395779",2020-08-19
"Woodbury","Woodbury","22985","3841","3480","54","0.167108984120078",2020-08-19
"Worth","Worth","1204","71","49","0","0.0589700996677741",2020-08-19
"Wright","Wright","3487","496","426","1","0.142242615428735",2020-08-19
"Total","Totals","569961","53483","41940","1002",NA,2020-08-19
