"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Harrison","Harrison","1544","97","73","0","0.0628238341968912",2020-08-04
"Henry","Henry","2581","114","85","3","0.0441689267725688",2020-08-04
"Howard","Howard","1234","48","37","0","0.0388978930307942",2020-08-04
"Humboldt","Humboldt","1237","92","74","1","0.074373484236055",2020-08-04
"Ida","Ida","873","29","23","0","0.0332187857961054",2020-08-04
"Iowa","Iowa","2579","90","61","1","0.0348972469949593",2020-08-04
"Jackson","Jackson","2567","141","42","1","0.0549279314374757",2020-08-04
"Jasper","Jasper","4625","455","343","24","0.0983783783783784",2020-08-04
"Jefferson","Jefferson","1820","77","63","0","0.0423076923076923",2020-08-04
"Johnson","Johnson","23966","1943","1418","15","0.0810731870149378",2020-08-04
"Jones","Jones","2462","124","73","2","0.0503655564581641",2020-08-04
"Keokuk","Keokuk","1049","30","21","1","0.0285986653956149",2020-08-04
"Kossuth","Kossuth","1926","78","41","0","0.0404984423676012",2020-08-04
"Lee","Lee","2839","97","52","3","0.0341669601972526",2020-08-04
"Linn","Linn","32323","2116","1645","87","0.065464220524085",2020-08-04
"Louisa","Louisa","1802","379","349","14","0.210321864594895",2020-08-04
"Lucas","Lucas","775","47","30","4","0.0606451612903226",2020-08-04
"Lyon","Lyon","1023","102","86","0","0.0997067448680352",2020-08-04
"Madison","Madison","2155","102","53","2","0.0473317865429234",2020-08-04
"Mahaska","Mahaska","1999","136","107","17","0.0680340170085043",2020-08-04
"Marion","Marion","3261","154","122","0","0.0472247776755596",2020-08-04
"Marshall","Marshall","8099","1389","1052","24","0.171502654648722",2020-08-04
"Mills","Mills","2663","83","44","0","0.0311678558017274",2020-08-04
"Mitchell","Mitchell","1831","76","66","0","0.0415073730202075",2020-08-04
"Monona","Monona","1137","90","78","0","0.079155672823219",2020-08-04
"Monroe","Monroe","799","67","45","7","0.0838548185231539",2020-08-04
"Montgomery","Montgomery","1208","43","31","3","0.0355960264900662",2020-08-04
"Muscatine","Muscatine","6544","829","708","48","0.126680929095355",2020-08-04
"O'Brien","O'Brien","1853","131","92","1","0.0706961683756071",2020-08-04
"Osceola","Osceola","608","78","66","0","0.128289473684211",2020-08-04
"Page","Page","1821","76","56","0","0.0417353102690829",2020-08-04
"Palo Alto","Palo Alto","1408","80","47","0","0.0568181818181818",2020-08-04
"Pending Investigation","Pending Investigation","5384","11","0","0","0.00204309063893016",2020-08-04
"Plymouth","Plymouth","3947","442","332","8","0.111983785153281",2020-08-04
"Pocahontas","Pocahontas","1166","113","101","1","0.0969125214408233",2020-08-04
"Polk","Polk","83426","9734","6812","203","0.116678253781795",2020-08-04
"Pottawattamie","Pottawattamie","14566","1218","834","23","0.0836193876149938",2020-08-04
"Poweshiek","Poweshiek","1951","147","106","8","0.0753459764223475",2020-08-04
"Ringgold","Ringgold","708","21","20","1","0.0296610169491525",2020-08-04
"Sac","Sac","1653","81","66","0","0.0490018148820327",2020-08-04
"Scott","Scott","23515","1595","940","12","0.0678290452902403",2020-08-04
"Shelby","Shelby","1541","162","134","1","0.105126541207008",2020-08-04
"Sioux","Sioux","4072","597","493","2","0.146611001964637",2020-08-04
"Story","Story","13308","1109","828","14","0.0833333333333333",2020-08-04
"Tama","Tama","3146","537","448","29","0.170692943420216",2020-08-04
"Taylor","Taylor","856","93","83","0","0.108644859813084",2020-08-04
"Union","Union","2056","71","35","1","0.0345330739299611",2020-08-04
"Van Buren","Van Buren","686","32","21","1","0.0466472303206997",2020-08-04
"Wapello","Wapello","5625","849","745","32","0.150933333333333",2020-08-04
"Warren","Warren","7644","528","301","1","0.0690737833594976",2020-08-04
"Washington","Washington","3042","287","265","10","0.0943458251150559",2020-08-04
"Wayne","Wayne","455","16","10","1","0.0351648351648352",2020-08-04
"Webster","Webster","6678","728","357","6","0.109014675052411",2020-08-04
"Winnebago","Winnebago","1517","77","34","0","0.0507580751483191",2020-08-04
"Winneshiek","Winneshiek","2201","85","55","1","0.0386188096319855",2020-08-04
"Woodbury","Woodbury","20989","3653","3264","51","0.174043546619658",2020-08-04
"Worth","Worth","1084","61","22","0","0.0562730627306273",2020-08-04
"Wright","Wright","3174","444","391","1","0.139886578449905",2020-08-04
"Total","Totals","491929","45982","33923","885",NA,2020-08-04
