"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Monona","Monona","1151","91","79","0","0.0790616854908775",2020-08-06
"Monroe","Monroe","811","69","46","7","0.0850801479654747",2020-08-06
"Montgomery","Montgomery","1228","49","33","4","0.0399022801302932",2020-08-06
"Muscatine","Muscatine","6666","838","724","48","0.125712571257126",2020-08-06
"O'Brien","O'Brien","1883","132","97","1","0.0701009028146575",2020-08-06
"Osceola","Osceola","618","78","68","0","0.12621359223301",2020-08-06
"Page","Page","1869","80","63","0","0.0428036383092563",2020-08-06
"Palo Alto","Palo Alto","1428","80","53","0","0.0560224089635854",2020-08-06
"Pending Investigation","Pending Investigation","5787","7","0","0","0.00120960774148955",2020-08-06
"Plymouth","Plymouth","4004","448","341","8","0.111888111888112",2020-08-06
"Pocahontas","Pocahontas","1185","115","104","1","0.0970464135021097",2020-08-06
"Polk","Polk","85248","9919","7196","206","0.116354635885886",2020-08-06
"Pottawattamie","Pottawattamie","14857","1260","882","25","0.0848085077741132",2020-08-06
"Poweshiek","Poweshiek","2025","151","108","8","0.0745679012345679",2020-08-06
"Ringgold","Ringgold","716","21","20","1","0.0293296089385475",2020-08-06
"Sac","Sac","1687","82","69","0","0.048606994665086",2020-08-06
"Scott","Scott","24102","1643","1045","13","0.068168616712306",2020-08-06
"Shelby","Shelby","1585","176","139","1","0.111041009463722",2020-08-06
"Sioux","Sioux","4136","609","500","2","0.147243713733075",2020-08-06
"Story","Story","14787","1128","857","14","0.0762832217488334",2020-08-06
"Tama","Tama","3199","543","454","29","0.169740543919975",2020-08-06
"Taylor","Taylor","866","95","88","0","0.109699769053118",2020-08-06
"Union","Union","2103","74","37","1","0.0351878269139325",2020-08-06
"Van Buren","Van Buren","707","34","21","1","0.0480905233380481",2020-08-06
"Wapello","Wapello","5720","867","763","33","0.151573426573427",2020-08-06
"Warren","Warren","7819","545","320","1","0.0697020079294027",2020-08-06
"Washington","Washington","3074","288","268","10","0.0936890045543266",2020-08-06
"Wayne","Wayne","472","19","12","1","0.0402542372881356",2020-08-06
"Webster","Webster","6759","767","424","7","0.113478325196035",2020-08-06
"Winnebago","Winnebago","1530","76","38","0","0.0496732026143791",2020-08-06
"Winneshiek","Winneshiek","2261","90","60","1","0.0398053958425475",2020-08-06
"Woodbury","Woodbury","21244","3682","3302","51","0.173319525513086",2020-08-06
"Worth","Worth","1106","65","24","0","0.0587703435804702",2020-08-06
"Wright","Wright","3219","451","398","1","0.140105622864244",2020-08-06
"Total","Totals","503657","47020","35468","906",NA,2020-08-06
