"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Jefferson","Jefferson","2175","98","71","0","0.0450574712643678",2020-08-21
"Johnson","Johnson","27781","2322","1758","24","0.0835823044526835",2020-08-21
"Jones","Jones","2832","146","106","2","0.0515536723163842",2020-08-21
"Keokuk","Keokuk","1201","47","26","1","0.0391340549542048",2020-08-21
"Kossuth","Kossuth","2354","109","74","0","0.046304163126593",2020-08-21
"Lee","Lee","3861","214","72","5","0.0554260554260554",2020-08-21
"Linn","Linn","37887","2669","2204","89","0.0704463272362552",2020-08-21
"Louisa","Louisa","1981","381","359","14","0.192327107521454",2020-08-21
"Lucas","Lucas","1039","79","35","4","0.0760346487006737",2020-08-21
"Lyon","Lyon","1220","132","114","2","0.108196721311475",2020-08-21
"Madison","Madison","2622","144","89","2","0.0549199084668192",2020-08-21
"Mahaska","Mahaska","2332","153","120","17","0.0656089193825043",2020-08-21
"Marion","Marion","4154","258","169","0","0.0621088107847858",2020-08-21
"Marshall","Marshall","9109","1546","1284","28","0.169722252717093",2020-08-21
"Mills","Mills","2931","111","66","1","0.037871033776868",2020-08-21
"Mitchell","Mitchell","2064","87","73","0","0.0421511627906977",2020-08-21
"Monona","Monona","1267","97","85","1","0.0765588003157064",2020-08-21
"Monroe","Monroe","934","87","58","8","0.0931477516059957",2020-08-21
"Montgomery","Montgomery","1480","66","55","4","0.0445945945945946",2020-08-21
"Muscatine","Muscatine","7455","916","744","48","0.122870556673374",2020-08-21
"O'Brien","O'Brien","2138","158","120","7","0.0739008419083255",2020-08-21
"Osceola","Osceola","701","90","75","0","0.128388017118402",2020-08-21
"Page","Page","2142","105","98","0","0.0490196078431373",2020-08-21
"Palo Alto","Palo Alto","1628","103","64","0","0.0632678132678133",2020-08-21
"Pending Investigation","Pending Investigation","6998","5","0","0","0.00071448985424407",2020-08-21
"Plymouth","Plymouth","4511","573","403","15","0.127022833074706",2020-08-21
"Pocahontas","Pocahontas","1341","120","108","2","0.0894854586129754",2020-08-21
"Polk","Polk","99869","11458","8866","212","0.114730296688662",2020-08-21
"Pottawattamie","Pottawattamie","16759","1484","1154","31","0.0885494361238737",2020-08-21
"Poweshiek","Poweshiek","2364","173","130","8","0.0731810490693739",2020-08-21
"Ringgold","Ringgold","808","29","23","1","0.0358910891089109",2020-08-21
"Sac","Sac","1851","97","75","0","0.0524041058887088",2020-08-21
"Scott","Scott","27819","1938","1482","17","0.0696646177073223",2020-08-21
"Shelby","Shelby","1788","203","183","1","0.113534675615213",2020-08-21
"Sioux","Sioux","5023","744","551","3","0.148118654190723",2020-08-21
"Story","Story","22012","1477","1058","16","0.067099763765219",2020-08-21
"Tama","Tama","3553","578","491","29","0.162679425837321",2020-08-21
"Taylor","Taylor","970","105","91","0","0.108247422680412",2020-08-21
"Union","Union","2371","89","58","3","0.037536904259806",2020-08-21
"Van Buren","Van Buren","845","45","24","1","0.0532544378698225",2020-08-21
"Wapello","Wapello","6349","983","858","39","0.154827531894787",2020-08-21
"Warren","Warren","9310","629","465","4","0.067561761546724",2020-08-21
"Washington","Washington","3410","316","288","10","0.0926686217008798",2020-08-21
"Wayne","Wayne","643","31","21","2","0.0482115085536547",2020-08-21
"Webster","Webster","9697","687","558","8","0.0708466536042075",2020-08-21
"Winnebago","Winnebago","2114","123","69","2","0.0581835383159886",2020-08-21
"Winneshiek","Winneshiek","2756","145","87","1","0.0526124818577649",2020-08-21
"Woodbury","Woodbury","23206","3884","3506","54","0.167370507627338",2020-08-21
"Worth","Worth","1229","73","51","0","0.0593978844589097",2020-08-21
"Wright","Wright","3606","490","426","1","0.135884636716583",2020-08-21
"Total","Totals","585489","54650","42809","1016",NA,2020-08-21
