"","date","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","positivity","date"
"Poweshiek",2021-02-22,33340,1530,1340,29,27,2,8177,1457,88,0.0458908218356329,2021-02-22
"Ringgold",2021-02-22,8352,515,456,16,15,1,2218,496,24,0.061661877394636,2021-02-22
"Sac",2021-02-22,16527,1231,1111,17,17,0,4927,1161,33,0.0744841774066679,2021-02-22
"Scott",2021-02-22,173868,18121,15729,200,187,13,79087,16864,935,0.104222743690616,2021-02-22
"Shelby",2021-02-22,13701,1193,1040,32,29,3,4949,1137,65,0.0870739362090358,2021-02-22
"Sioux",2021-02-22,36087,4898,4534,67,64,3,14729,4724,123,0.135727547316208,2021-02-22
"Story",2021-02-22,135128,10054,8791,45,39,6,52388,9377,541,0.0744035285063051,2021-02-22
"Tama",2021-02-22,27372,2104,1851,64,62,2,7892,1985,70,0.0768668712552974,2021-02-22
"Taylor",2021-02-22,7052,661,597,11,9,2,2362,636,28,0.0937322745320476,2021-02-22
"Union",2021-02-22,14533,1254,1098,31,26,5,6132,1177,48,0.0862863827151999,2021-02-22
"Van Buren",2021-02-22,7112,559,490,17,14,3,2540,533,26,0.078599550056243,2021-02-22
"Wapello",2021-02-22,38549,4217,3479,105,102,3,16667,3885,301,0.109393239772757,2021-02-22
"Warren",2021-02-22,61777,5466,4567,69,64,5,25656,5009,373,0.0884795312171196,2021-02-22
"Washington",2021-02-22,34460,2528,2205,43,40,3,11015,2374,126,0.073360417875798,2021-02-22
"Wayne",2021-02-22,4940,483,401,21,17,4,2047,445,23,0.0977732793522267,2021-02-22
"Webster",2021-02-22,59145,5142,4663,85,71,14,20186,4873,125,0.0869388790261222,2021-02-22
"Winnebago",2021-02-22,14691,1363,1196,30,25,5,5719,1277,51,0.0927778912259206,2021-02-22
"Winneshiek",2021-02-22,29732,1854,1587,26,22,4,9352,1786,173,0.0623570563702408,2021-02-22
"Woodbury",2021-02-22,120966,14798,12976,210,194,16,54947,13575,389,0.12233189491262,2021-02-22
"Worth",2021-02-22,10577,686,621,4,3,1,3453,650,25,0.0648577101257445,2021-02-22
"Wright",2021-02-22,18357,1786,1652,31,26,5,7491,1717,34,0.0972925859345209,2021-02-22
"Total",2021-02-22,3957368,359565,309568,5336,4803,533,1536912,332182,17278,0.216135992171315,2021-02-22
