"","date","County","Total.Tests","Total.Positive.Tests","Total.Recovered","Total.Deaths","Underlying.Cause.Deaths","Contributing.Factor.Deaths","Individuals.Tested","Individuals.Positive","Active","date"
"Sac",2021-06-11,"Sac",21804,1392,1288,20,19,1,5650,1308,0,2021-06-11
"Scott",2021-06-11,"Scott",229600,21710,19837,244,220,24,93588,20275,194,2021-06-11
"Shelby",2021-06-11,"Shelby",18202,1374,1277,37,33,4,5800,1314,0,2021-06-11
"Sioux",2021-06-11,"Sioux",48223,5347,5077,74,71,3,16961,5167,16,2021-06-11
"Story",2021-06-11,"Story",169601,11469,10568,48,42,6,58973,10706,90,2021-06-11
"Tama",2021-06-11,"Tama",34403,2241,2025,71,67,4,8910,2114,18,2021-06-11
"Taylor",2021-06-11,"Taylor",9368,688,650,12,10,2,2669,666,4,2021-06-11
"Union",2021-06-11,"Union",18328,1381,1253,35,27,8,6932,1298,10,2021-06-11
"Van Buren",2021-06-11,"Van Buren",9041,591,541,18,15,3,2928,563,4,2021-06-11
"Wapello",2021-06-11,"Wapello",50128,4702,4178,122,118,4,19658,4332,32,2021-06-11
"Warren",2021-06-11,"Warren",82842,6336,5695,91,81,10,29927,5831,45,2021-06-11
"Washington",2021-06-11,"Washington",44165,2740,2497,51,47,4,12626,2565,17,2021-06-11
"Wayne",2021-06-11,"Wayne",7727,585,516,23,18,5,2670,543,4,2021-06-11
"Webster",2021-06-11,"Webster",72230,5432,5034,94,79,15,22210,5144,16,2021-06-11
"Winnebago",2021-06-11,"Winnebago",18907,1556,1394,31,26,5,6719,1442,17,2021-06-11
"Winneshiek",2021-06-11,"Winneshiek",42028,2053,1935,35,30,5,10927,1975,5,2021-06-11
"Woodbury",2021-06-11,"Woodbury",154607,16530,14931,229,210,19,63341,15219,59,2021-06-11
"Worth",2021-06-11,"Worth",14192,801,742,8,7,1,4104,757,7,2021-06-11
"Wright",2021-06-11,"Wright",21693,1930,1812,40,33,7,8220,1858,6,2021-06-11
"Total",2021-06-11,"Totals",5108587,402889,363481,6095,5386,709,1774792,372309,2733,2021-06-11
