"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","positivity","date"
"Ringgold","Ringgold","729","22","20","1","0.0301783264746228",2020-08-10
"Sac","Sac","1727","85","69","0","0.0492182976259409",2020-08-10
"Scott","Scott","25456","1722","1190","14","0.0676461345065996",2020-08-10
"Shelby","Shelby","1643","184","155","1","0.111990261716372",2020-08-10
"Sioux","Sioux","4313","635","517","3","0.147229306747044",2020-08-10
"Story","Story","16468","1166","892","14","0.0708039834831188",2020-08-10
"Tama","Tama","3282","552","463","29","0.16819012797075",2020-08-10
"Taylor","Taylor","898","98","88","0","0.10913140311804",2020-08-10
"Union","Union","2188","77","42","1","0.0351919561243144",2020-08-10
"Van Buren","Van Buren","745","37","21","1","0.0496644295302013",2020-08-10
"Wapello","Wapello","5936","902","773","33","0.151954177897574",2020-08-10
"Warren","Warren","8162","564","348","1","0.0691007106101446",2020-08-10
"Washington","Washington","3162","298","271","10","0.0942441492726123",2020-08-10
"Wayne","Wayne","500","20","12","1","0.04",2020-08-10
"Webster","Webster","6918","805","495","7","0.116363110725643",2020-08-10
"Winnebago","Winnebago","1655","84","50","0","0.0507552870090634",2020-08-10
"Winneshiek","Winneshiek","2358","97","60","1","0.041136556403732",2020-08-10
"Woodbury","Woodbury","21697","3721","3337","52","0.171498363829101",2020-08-10
"Worth","Worth","1130","66","31","0","0.0584070796460177",2020-08-10
"Wright","Wright","3293","472","409","1","0.143334345581537",2020-08-10
"Total","Totals","523928","49000","37247","931",NA,2020-08-10
