"","date","Total.Tested","positive","Recovered","deaths","hospitalized","new.hospital","ICU","Admit","RMCC6.Hospitalized","RMCC6.ICU","RMCC6.Admit","RMCC6.Leave","negative","Percent.Pos","discharged","never_hospitalized","New.Positive","New.Negative","New.Percent.Positive","Week.Positivity.Rate","Total.Daily.Tests","Still.Sick","Percent.Hospitalized","New.Deaths","Bremer.Positive","Butler.P","BlackHawk.P","Bremer.Recovered","Butler.R","BlackHawk.R","Bremer.Death","Butler.D","BlackHawk.D","Bremer.SS","Butler.SS","BlackHawk.SS","Knights.Positive","Knights.Isolation","Kights.Quarantine","TotalTested2","TotalPositive2","TotalRecovered2","TotalDeaths2","New.Positive.Tests","Individuals.Reported","Individuals.Positive","X","Bremer.Rep","Bremer.Pos","Black.Hawk.Rep","Black.Hawk.Pos","Butler.Rep","Butler.Pos","Bremer.Pct","Black.Hawk.Pct","Butler.Pct","State.7Day","State.14Day","Bremer.7Day","Black.Hawk.7Day","Butler.7Day","Bremer.School","Black.Hawk.School","Butler.School","Total.Tests","Positive.Tests","PCR.Individuals","Antigen.Individuals","Positive.PCR.Individuals","Positive.Antigen.Individuals","Individuals.Tested","Individuals.Postive","Bremer.Total.Tests","Bremer.Positive.Tests","Bremer.PCR.Individuals","Bremer.Antigen.Individuals","Bremer.Positive.PCR.Individuals","Bremer.Positive.Antigen.Individuals","Bremer.Individuals.Tested","Bremer.Individuals.Postive","Butler.Total.Tests","Butler.Positive.Tests","Butler.PCR.Individuals","ButlerAntigen.Individuals","Positive.Butler.PCR.Individuals","Positive.ButlerAntigen.Individuals","Butler.Individuals.Tested","Butler.Individuals.Postive","Black.Hawk.Total.Tests","Black.Hawk.Positive.Tests","BH.PCR.Individuals","BH.Antigen.Individuals","Positive.BH.PCR.Individuals","Positive.BH.Antigen.Individuals","Positive.Positive.BH.PCR.Individuals","Positive.Positive.BH.Antigen.Individuals","time.change","np_day","New.Bremer.Positive.Tests"
"131",2020-07-26,451337,42016,858342,826,226,NA,77,34,51,15,9,3,409321,NA,NA,NA,388,3698,NA,NA,4086,11586,1.95063007077507,0,166,95,2841,79,78,2022,7,2,61,80,17,758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,388,NA
"132",2020-07-27,455737,42422,858342,829,241,NA,78,30,56,12,7,2,413315,NA,NA,NA,406,3994,NA,NA,4400,11866,2.03101297825721,3,164,97,2853,79,78,2028,7,2,61,78,19,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,406,NA
"133",2020-07-28,458792,42738,858342,836,253,NA,75,30,52,11,5,9,416054,NA,NA,NA,316,2739,NA,NA,3055,11426,2.21424820584632,7,167,99,2870,80,81,2038,7,2,62,80,18,770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,316,NA
"134",2020-07-29,463964,43195,858342,844,246,NA,76,23,56,15,5,1,420769,NA,NA,NA,457,4715,NA,NA,5172,11137,2.20885337164407,8,170,100,2898,84,81,2082,7,2,62,79,19,754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,457,NA
"135",2020-07-30,469563,43730,858342,854,237,NA,76,33,52,14,7,11,425833,NA,NA,NA,535,5064,NA,NA,5599,11140,2.12746858168761,10,175,102,2919,88,83,2143,7,2,62,80,19,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,535,NA
"136",2020-07-31,475497,44474,858342,865,225,NA,71,31,54,14,5,3,431023,NA,NA,NA,744,5190,NA,NA,5934,11114,2.02447363685442,11,179,106,2953,88,83,2181,7,2,62,84,23,710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,744,NA
"137",2020-08-01,480425,44937,858342,872,242,NA,77,36,54,18,9,9,435488,NA,NA,NA,463,4465,NA,NA,4928,11263,2.14862825179792,7,182,111,2971,90,89,2246,7,2,62,85,22,663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,463,NA
"138",2020-08-02,485828,45480,858342,874,231,NA,75,28,51,16,7,10,440348,NA,NA,NA,543,4860,NA,NA,5403,11689,1.97621695611258,2,187,111,2987,91,92,2253,7,2,62,89,19,672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,543,NA
"139",2020-08-03,488138,45782,858342,878,241,NA,78,27,57,18,7,1,442356,NA,NA,NA,302,2008,NA,NA,2310,11802,2.04202677512286,4,187,113,2998,92,94,2260,7,2,62,88,19,676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,302,NA
"140",2020-08-04,491929,45982,858342,885,243,NA,75,24,51,14,6,12,445947,NA,NA,NA,200,3591,NA,NA,3791,11174,2.17469124753893,7,189,114,3007,93,96,2326,7,2,62,89,18,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,200,NA
"141",2020-08-05,497180,46412,858342,893,248,NA,77,44,54,14,8,5,450768,NA,NA,NA,430,4821,NA,NA,5251,10860,2.28360957642726,8,193,115,3031,103,97,2376,7,2,62,83,18,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,430,NA
"142",2020-08-06,503657,47020,858342,906,237,NA,68,28,56,15,9,7,456637,NA,NA,NA,608,5869,NA,NA,6477,10646,2.22618823971445,13,199,118,3060,106,101,2419,7,2,62,86,17,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,608,NA
"143",2020-08-07,510522,47728,858342,912,223,NA,65,33,53,13,9,12,462794,NA,NA,NA,708,6157,NA,NA,6865,10568,2.11014383043149,6,206,119,3088,108,103,2456,7,2,63,91,16,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,708,NA
"144",2020-08-08,514451,48112,858342,925,229,NA,58,33,50,11,7,10,466339,NA,NA,NA,384,3545,NA,NA,3929,10337,2.21534294282674,13,213,119,3100,109,104,2485,7,2,66,97,15,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,384,NA
"145",2020-08-09,521382,48732,858342,930,221,NA,57,32,48,12,10,12,472650,NA,NA,NA,620,6311,NA,NA,6931,10716,2.06233669279582,5,226,121,3120,111,104,2491,7,2,66,108,17,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,620,NA
"146",2020-08-10,523928,49000,858342,931,224,NA,57,26,46,14,7,9,474928,NA,NA,NA,268,2278,NA,NA,2546,10822,2.06985769728331,1,226,121,3128,113,104,2503,7,2,66,106,17,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,268,NA
"147",2020-08-11,525593,49164,858342,935,244,NA,64,34,51,13,10,5,476429,NA,NA,NA,164,1501,NA,NA,1665,10250,2.38048780487805,4,227,121,3134,116,106,2533,7,2,66,104,15,535,15,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,164,NA
"148",2020-08-12,530408,49598,858342,946,243,NA,72,53,51,15,4,4,480810,NA,NA,NA,434,4381,NA,NA,4815,10121,2.40094852287323,11,230,125,3161,120,108,2566,7,2,66,103,17,529,17,18,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,434,NA
"149",2020-08-13,535885,50003,858342,954,261,NA,88,38,53,19,8,6,485882,NA,NA,NA,405,5072,NA,NA,5477,9808,2.66109298531811,8,231,129,3189,123,110,2598,7,2,66,101,19,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,405,NA
"150",2020-08-14,540974,50681,858342,964,258,NA,75,31,61,18,12,4,490293,NA,NA,NA,678,4411,NA,NA,5089,9929,2.59844898781348,10,235,132,3217,127,111,2612,7,2,66,101,21,539,17,18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,678,NA
"151",2020-08-15,552417,51648,858342,972,261,NA,82,33,64,21,11,8,500769,NA,NA,NA,967,10476,NA,NA,11443,10317,2.52980517592323,8,242,134,3265,132,114,2648,7,2,66,103,20,551,17,18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,967,NA
"152",2020-08-16,558674,52221,858342,975,271,NA,80,43,62,19,13,15,506453,NA,NA,NA,573,5684,NA,NA,6257,10757,2.51928976480431,3,243,138,3285,133,116,2651,7,2,66,103,22,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,573,NA
"153",2020-08-17,561218,52611,858342,975,283,NA,85,31,62,20,5,5,508607,NA,NA,NA,390,2154,NA,NA,2544,11000,2.57272727272727,0,244,140,3309,133,116,2656,7,2,66,104,24,587,3,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,390,NA
"154",2020-08-18,564443,52918,858342,987,287,NA,86,31,59,20,7,10,511525,NA,NA,NA,307,2918,NA,NA,3225,10444,2.74798927613941,12,245,141,3326,138,118,2684,7,2,67,100,23,575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,307,NA
"155",2020-08-19,569961,53483,858342,1002,299,NA,90,46,67,25,12,4,516478,NA,NA,NA,565,4953,NA,NA,5518,10541,2.83654302248364,15,248,143,3362,146,120,2713,7,2,67,95,23,582,3,4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,565,NA
"156",2020-08-20,576461,53781,858342,1011,300,NA,89,43,64,22,3,6,522680,NA,NA,NA,298,6202,NA,NA,6500,10470,2.86532951289398,9,252,146,3400,150,123,2745,7,2,67,95,23,588,4,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,298,NA
"157",2020-08-21,585489,54650,858342,1016,293,NA,81,43,66,19,11,9,530839,NA,NA,NA,869,8159,NA,NA,9028,10825,2.7066974595843,5,257,149,3442,154,128,2781,7,2,67,96,21,594,2,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,869,NA
"158",2020-08-22,591013,55496,858342,1030,268,NA,79,33,66,15,9,9,535517,NA,NA,NA,846,4678,NA,NA,5524,11117,2.4107223171719,14,260,152,3491,161,134,2805,7,2,69,92,18,617,2,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,846,NA
"159",2020-08-23,595256,56087,858342,1033,260,NA,82,42,59,16,6,13,539169,NA,NA,NA,591,3652,NA,NA,4243,11582,2.24486271801071,3,265,159,3502,161,134,2814,7,2,69,97,25,619,2,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,591,NA
"160",2020-08-24,597550,56504,858342,1037,275,NA,86,37,62,17,8,5,541046,NA,NA,NA,417,1877,NA,NA,2294,11868,2.31715537580047,4,265,163,3514,163,134,2818,7,2,70,95,29,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,417,NA
"161",2020-08-25,601441,57049,858342,1047,295,NA,82,37,65,14,4,1,544392,NA,NA,NA,545,3346,NA,NA,3891,11701,2.52115203828733,10,265,163,3514,163,134,2818,7,2,70,95,29,626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,545,NA
"162",2020-08-26,607529,57848,858342,1060,313,NA,102,49,65,19,9,9,549681,NA,NA,NA,799,5289,NA,NA,6088,11935,2.62253875157101,13,269,169,3543,171,136,2868,7,2,72,91,33,603,4,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,799,NA
"163",2020-08-27,614512,59101,858342,1077,305,NA,99,36,63,19,6,8,555411,NA,NA,NA,1253,5730,NA,NA,6983,12669,2.40745125897861,17,276,172,3589,176,140,2896,7,2,72,93,32,621,6,6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1253,NA
"164",2020-08-28,617387,61669,858342,1091,299,NA,91,40,63,14,9,9,555718,NA,NA,NA,2568,307,NA,NA,2875,14692,2.03512115436973,14,283,183,3644,178,144,2919,7,2,73,98,39,652,7,8,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2568,NA
"165",2020-08-29,624735,63098,858342,1108,315,NA,91,48,65,14,10,8,561637,NA,NA,NA,1429,5919,NA,NA,7348,15596,2.0197486535009,17,286,194,3709,183,150,2937,7,2,74,96,44,698,16,16,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1429,NA
"166",2020-08-30,630446,64104,858342,1110,315,NA,91,48,57,11,12,20,566342,NA,NA,NA,1006,4705,NA,NA,5711,16468,1.91280058294875,2,294,199,3762,186,151,2940,7,2,74,101,48,748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1006,NA
"167",2020-08-31,633664,64713,858342,1112,300,NA,85,23,57,11,7,7,568951,NA,NA,NA,609,2609,NA,NA,3218,16950,1.76991150442478,2,299,203,3788,187,156,2948,7,2,74,105,47,766,18,22,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,609,NA
"168",2020-09-01,637100,65397,858342,1121,311,NA,88,40,63,14,10,4,571703,NA,NA,NA,684,2752,NA,NA,3436,16904,1.83980123047799,9,332,210,3802,192,159,2976,7,2,75,133,51,751,42,44,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,684,NA
"169",2020-09-02,641492,65991,858342,1125,310,NA,87,62,67,15,15,11,575501,NA,NA,NA,594,3798,NA,NA,4392,16862,1.83845332700747,4,341,211,3830,197,161,3010,7,2,76,137,50,744,50,52,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,594,NA
"170",2020-09-03,646904,66618,858342,1134,323,NA,88,51,73,17,13,7,580286,NA,NA,NA,627,4785,NA,NA,5412,16975,1.90279823269514,9,355,213,3846,211,172,3032,7,2,76,137,41,738,65,65,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,627,NA
"171",2020-09-04,654603,67844,858342,1137,317,NA,87,41,68,16,5,10,586759,NA,NA,NA,1226,6473,NA,NA,7699,17713,1.7896460226952,3,366,217,3904,220,178,3048,7,2,76,139,39,780,68,68,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1226,NA
"172",2020-09-05,661816,68933,858342,1158,315,NA,94,36,68,19,10,10,592883,NA,NA,NA,1089,6124,NA,NA,7213,18288,1.72244094488189,21,372,219,3966,222,183,3070,7,2,78,143,36,818,78,78,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1089,NA
"173",2020-09-06,667907,69754,858342,1165,309,NA,91,52,66,20,9,11,598153,NA,NA,NA,821,5270,NA,NA,6091,18933,1.63207098716527,7,376,223,3994,223,190,3073,7,2,78,146,33,843,75,75,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,821,NA
"174",2020-09-07,670523,70260,858342,1167,311,NA,99,31,67,16,8,7,600263,NA,NA,NA,506,2110,NA,NA,2616,19230,1.61726469058762,2,382,224,4022,223,196,3078,7,2,78,152,28,866,67,68,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,506,NA
"175",2020-09-08,673617,70650,858342,1170,326,NA,92,41,74,18,12,5,602967,NA,NA,NA,390,2704,NA,NA,3094,19118,1.70519928862852,3,387,230,4037,226,196,3112,7,2,79,154,34,846,69,69,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,390,NA
