"Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black.Hawk","Boone","Bremer","Buchanan","Buena.Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro.Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des.Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O.Brien","Osceola","Page","Palo.Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Unknown","Van.Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright"
"19109",4,2,5,11,4,19,99,16,19,11,-2,11,1,9,0,12,25,4,6,1,9,4,32,3,73,2,0,8,15,1,80,4,6,6,7,0,2,6,2,-1,2,6,3,7,11,19,9,7,8,17,14,369,21,25,2,11,255,5,0,4,13,14,13,20,6,8,1,0,1,30,5,2,1,4,4,4,391,40,49,1,7,84,0,1,61,24,1,3,1,1,7,18,9,1,11,9,26,19,12,6
"19116",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19116",1,0,8,10,1,18,184,14,27,11,2,18,4,7,2,27,20,3,5,1,11,16,54,6,109,2,2,13,27,4,159,12,14,17,3,0,3,13,11,3,8,2,1,2,14,7,2,14,17,25,5,470,20,6,7,5,327,7,4,4,8,12,8,28,8,21,0,0,5,35,2,1,3,6,6,3,502,44,19,-2,1,143,8,3,54,8,1,2,-8,0,9,38,19,4,17,12,25,25,8,1
"19137",149855,60390,41757,46814,38216,30280,32497,22702,27331,28107,10671,12719,14374,11598,13283,8873,10928,10456,9890,10162,6399,6156,8403,8682,6217,4227,6843,7728,4567,6246,4638,4275,7061,5133,4703,5532,4103,4408,5417,4516,4445,3617,4102,6110,3994,5178,4162,4108,4617,3864,5037,3968,3368,3250,3672,3246,3906,3175,2864,3602,3867,3345,2865,2875,3948,2711,2836,2632,2994,2259,2777,3367,3023,1947,2959,2923,2355,2278,2921,1922,2654,2436,1985,2499,1240,1792,1780,2096,1645,1813,2051,1518,1913,1208,1488,1441,1413,1543,893,12
"19144",5,1,16,20,14,50,219,48,31,31,11,20,22,20,12,33,60,24,15,7,21,16,48,11,169,11,8,27,57,21,176,6,20,22,8,4,6,7,11,8,7,28,7,30,7,14,5,23,19,50,20,515,51,4,10,23,432,19,16,16,8,29,41,80,13,8,4,7,6,57,5,2,6,7,14,9,920,85,27,2,9,307,10,36,165,20,1,11,-10,4,52,87,35,12,61,16,38,36,8,10
"19151",11,4,9,23,2,60,229,43,38,31,29,21,21,25,5,27,64,17,21,16,19,33,61,9,185,17,11,33,70,10,219,10,25,22,19,6,9,19,20,9,23,30,12,29,5,16,5,31,33,35,16,539,34,7,14,21,443,19,10,17,10,33,66,64,22,10,11,15,11,59,7,5,25,8,17,23,1056,148,26,11,15,304,13,30,156,21,3,18,-1,4,77,91,42,19,49,16,29,97,1,19
"19158",6,2,16,15,1,46,226,28,45,30,10,20,18,23,9,41,66,4,14,9,19,14,58,6,157,17,18,43,70,11,231,9,24,25,13,6,8,12,16,13,11,35,10,32,8,18,4,18,35,94,24,427,42,11,14,27,463,18,28,7,17,27,54,67,16,9,20,20,9,51,4,4,13,10,14,15,981,144,29,3,12,321,20,20,145,27,7,13,0,1,73,67,39,7,62,8,14,98,10,16
"19165",8,3,13,18,5,40,207,40,26,31,17,32,18,19,11,15,53,13,20,21,16,19,52,11,184,10,12,16,72,17,200,5,25,33,16,14,8,9,14,20,26,19,18,29,7,16,4,15,47,71,29,329,32,7,27,42,441,19,12,17,16,25,64,47,46,18,8,13,10,74,22,7,13,20,22,13,961,166,28,1,10,308,20,26,118,18,5,11,0,10,50,75,25,7,64,15,16,100,10,11
"19179",12,6,12,10,5,21,192,45,22,36,21,10,12,25,2,23,65,23,13,11,20,25,63,40,163,12,11,12,75,23,222,7,18,19,13,7,10,7,12,30,26,27,20,46,4,5,4,17,41,65,52,357,24,14,30,38,446,14,14,13,9,34,52,80,12,17,5,14,18,61,28,7,13,9,22,11,898,169,32,4,10,344,16,33,122,21,3,20,6,26,74,90,38,9,76,18,24,169,4,15
"19179",11,7,11,6,2,42,180,43,23,22,14,19,16,64,5,24,61,14,9,14,23,25,66,48,173,5,18,16,61,25,214,8,25,30,21,15,23,8,4,29,22,19,22,23,7,13,4,30,31,57,29,419,27,8,34,28,457,6,5,8,19,37,39,45,52,9,5,6,11,68,17,6,9,5,21,7,928,152,33,1,13,293,11,30,143,32,8,14,-3,11,48,66,24,6,72,16,14,193,10,16
