"","date","Total.Tested","positive","Recovered","deaths","hospitalized","new.hospital","ICU","Admit","RMCC6.Hospitalized","RMCC6.ICU","RMCC6.Admit","RMCC6.Leave","negative","Percent.Pos","discharged","never_hospitalized","New.Positive","New.Negative","New.Percent.Positive","Week.Positivity.Rate","Total.Daily.Tests","Still.Sick","Percent.Hospitalized","New.Deaths","Bremer.Positive","Butler.P","BlackHawk.P","Bremer.Recovered","Butler.R","BlackHawk.R","Bremer.Death","Butler.D","BlackHawk.D","Bremer.SS","Butler.SS","BlackHawk.SS","Knights.Positive","Knights.Isolation","Kights.Quarantine","TotalTested2","TotalPositive2","TotalRecovered2","TotalDeaths2","Individuals.Reported","Individuals.Positive","X","Bremer.Rep","Bremer.Pos","Black.Hawk.Rep","Black.Hawk.Pos","Butler.Rep","Butler.Pos","Bremer.Pct","Black.Hawk.Pct","Butler.Pct","State.7Day","State.14Day","Bremer.7Day","Black.Hawk.7Day","Butler.7Day","Bremer.School","Black.Hawk.School","Butler.School","Total.Tests","Individuals.Tested","Positive.Tests","Individuals.Postive","Bremer.Total.Tests","Bremer.Individuals.Tested","Bremer.Positive.Tests","Bremer.Individuals.Postive","Butler.Total.Tests","Butler.Individuals.Tested","Butler.Positive.Tests","Butler.Individuals.Postive","Black.Hawk.Total.Tests","Black.Hawk.Individuals.Tested","Black.Hawk.Positive.Tests","Black.Hawk.Individuals.Postive","np_7day","Week.Positivity","Week.Tests","Week.Deaths","Day.Total.Tests","Day.Positive.Tests","Day.Bremer.Total.Tests","Day.Bremer.Positive.Tests","wktot","nd_7day","pp_7day","P2"
"256",2020-11-28,1203506,225780,130008,2360,1221,-5,244,127,267,37,18,40,977726,18.7601889811933,NA,NA,2242,3495,0.390796583580268,0.384880001609367,5737,95772,1.27490289437414,11,1928,992,10813,816,462,6419,12,6,134,1100,524,4260,NA,NA,NA,NA,NA,NA,NA,5737,2242,0.191973521,NA,5,245,39,25,6,0.135135135,0.159183673,0.641025641,0.217452669,0.233575303,0.260053619,0.185750636,0.276243094,0.244,0.178,0.186,NA,1203506,NA,225780,19432,NA,NA,1928,14330,NA,NA,992,111492,NA,NA,10813,2733.14285714286,19132,49709,201,NA,NA,37,NA,19132,201,0.384880001609367,50976608400
"257",2020-11-29,1208053,227796,131098,2375,1175,-46,235,131,253,38,30,44,980257,18.8564574567507,NA,NA,2016,2531,0.443369254453486,0.389304601610673,4547,96698,1.21512337380297,15,1950,1018,10886,835,465,6470,12,6,134,1103,547,4282,NA,NA,NA,NA,NA,NA,NA,4547,2016,0.241294045,NA,7,168,27,10,4,0.2,0.160714286,0.37037037,0.218348106,0.231972006,0.258064516,0.183777652,0.296296296,0.246,0.176,0.202,NA,1208053,NA,227796,19467,NA,NA,1950,14355,NA,NA,1018,111737,NA,NA,10886,2534.42857142857,17741,45571,183,NA,NA,35,NA,17741,183,0.389304601610673,51891017616
"258",2020-11-30,1211060,228972,132212,2400,1162,-13,224,138,244,35,29,38,982088,18.9067428533681,NA,NA,1176,1831,0.391087462587296,0.396151903384305,3007,96760,1.20090946672179,25,1953,1023,10899,850,471,6550,12,6,135,1091,546,4214,1,1,12,NA,NA,NA,NA,3007,1176,0.225303751,NA,5,142,20,11,5,0.333333333,0.14084507,0.55,0.219707553,0.229577452,0.240853659,0.181138585,0.31372549,0.243,0.173,0.205,NA,1211060,NA,228972,19482,NA,NA,1953,14365,NA,NA,1023,111905,NA,NA,10899,2464.85714285714,17254,43554,198,NA,NA,15,NA,17254,198,0.396151903384305,52428176784
"259",2020-12-01,1215670,230898,137430,2427,1172,10,235,129,254,41,42,32,984772,18.9934768481578,NA,NA,1926,2684,0.417787418655098,0.3992862910578,4610,93468,1.25390507981341,27,1967,1026,10974,914,503,6844,12,6,137,1041,517,3993,NA,NA,NA,NA,NA,NA,NA,4610,1926,0.253847821,NA,6,162,43,14,3,0.285714286,0.265432099,0.325581395,0.223188039,0.229534761,0.234200743,0.187040748,0.330827068,0.236,0.165,0.201,NA,1215670,NA,230898,19503,NA,NA,1967,14376,NA,NA,1026,112047,NA,NA,10974,2189.85714285714,15329,38391,205,NA,NA,21,NA,15329,205,0.3992862910578,53313886404
"260",2020-12-02,1222575,233868,142251,2449,1162,-10,226,181,262,45,51,43,988707,19.1291331820134,NA,NA,2970,3935,0.430123099203476,0.406376780025594,6905,91617,1.26832356440399,22,1986,1050,11159,965,526,7086,12,6,137,1009,518,3936,NA,NA,NA,NA,NA,NA,NA,6905,2970,0.20632934,NA,5,490,57,23,8,0.111111111,0.116326531,0.403508772,0.22132186,0.225519139,0.190283401,0.164179104,0.328358209,0.23,0.155,0.2,NA,1222575,NA,233868,19548,NA,NA,1986,14390,NA,NA,1050,112209,NA,NA,11159,2132.14285714286,14925,36727,178,NA,NA,45,NA,14925,178,0.406376780025594,54694241424
"261",2020-12-03,1229577,236796,147153,2519,1124,-38,224,136,274,44,34,22,992781,19.2583303038362,NA,NA,2928,4074,0.418166238217652,0.414231910522712,7002,89643,1.25386254364535,70,2007,1062,11221,1027,546,7332,12,6,139,968,510,3750,NA,NA,NA,NA,NA,NA,NA,7002,2928,0.211961057,NA,9,205,34,21,4,0.204545455,0.165853659,0.617647059,0.219612804,0.223350518,0.19665272,0.165558912,0.307692308,0.215,0.141,0.201,2553984,1229577,NA,236796,19592,NA,NA,2007,14413,NA,NA,1062,112699,NA,NA,11221,2074,14518,35048,207,NA,NA,44,NA,14518,207,0.414231910522712,56072345616
"262",2020-12-04,1237164,239687,152332,2603,1000,-124,209,123,221,38,26,79,997477,19.3739067738796,NA,NA,2891,4696,0.381046526954,0.409925117400685,7587,87355,1.14475416404327,84,2030,1076,11297,1103,577,7600,13,8,147,914,491,3550,0,0,9,NA,NA,NA,NA,7587,2891,0.202818538,NA,10,241,40,27,7,0.208333333,0.165975104,0.675,0.217127569,0.22071922,0.191836735,0.157289776,0.282442748,0.21,0.137,0.185,NA,1237164,NA,239687,19640,NA,NA,2030,14434,NA,NA,1076,112904,NA,NA,11297,2307,16149,39395,254,NA,NA,48,NA,16149,254,0.409925117400685,57449857969
"263",2020-12-05,1243590,242063,157028,2665,960,-40,204,131,200,33,30,51,1001527,19.4648557804421,NA,NA,2376,4050,0.369747899159664,0.406221933938729,6426,85035,1.12894690421591,62,2046,1089,11373,1159,613,7842,13,11,149,874,465,3382,NA,NA,NA,NA,NA,NA,NA,6428,2378,NA,6789,NA,NA,NA,NA,NA,NA,NA,NA,0.220821435,0.218796582,0.201923077,0.156960227,0.29245283,0.2,0.135,0.188,2561174,1243592,261722,242065,19640,8819,2145,2046,14461,5195,1154,1089,113145,53329,12426,11372,2326.14285714286,16283,40084,305,NA,NA,0,NA,16283,305,0.406221933938729,58594495969
"264",2020-12-06,1248997,243929,158994,2683,918,-42,195,141,186,30,29,43,1005068,19.5299908646698,NA,NA,1866,3541,0.345108193083041,0.39402598671356,5407,84935,1.08082651439336,18,2053,1097,11434,1189,624,7920,14,12,152,850,461,3362,NA,NA,NA,NA,NA,NA,NA,5405,1864,0.107886905,6795,8,687,73,204,8,0.108108108,0.106259098,2.794520548,0.173375141,0.195656151,0.174089069,0.138557343,0.116666667,0.187,0.138,0.186,2579990,1248997,263752,243929,19714,8841,2153,2053,14665,5203,1162,1097,113832,53524,12499,11434,2304.71428571429,16133,40944,308,18816,2030,74,8,16133,308,0.39402598671356,59501357041
"265",2020-12-07,1251393,244848,160837,2717,898,-20,200,94,175,32,14,25,1006545,19.5660356099163,NA,NA,919,1477,0.38355592654424,0.393623087794114,2396,84011,1.06890764304674,34,2058,1098,11456,1222,640,8020,14,12,156,822,446,3280,NA,NA,NA,NA,NA,NA,NA,2396,919,NA,6805,2,285,19,29,3,0.037037037,0.066666667,1.526315789,0.168813087,0.194216845,0.13986014,0.128502415,0.103773585,0.181,0.137,0.184,NA,1251393,NA,244848,19768,8858,2155,2058,14694,5210,1165,1098,114117,53602,12518,11456,2268,15876,40333,317,NA,NA,54,2,15876,317,0.393623087794114,59950543104
"266",2020-12-08,1255021,246240,168057,2898,900,2,191,111,168,27,20,27,1008781,19.6203888221791,NA,NA,1392,2236,0.383682469680265,0.38987573378059,3628,78183,1.15114538966271,181,2067,1102,11469,1222,640,8019,27,8,158,818,454,3292,NA,NA,NA,NA,NA,NA,NA,5069,1936,NA,6837,18,1245,63,232,14,0.072,0.05060241,3.682539683,0.158619614,0.191308922,0.100970874,0.090707263,0.082089552,0.171,0.139,0.179,2619543,1256462,266756,246784,20018,8895,2173,2076,14926,5234,1179,1111,115362,53720,12581,11515,2191.71428571429,15342,39351,471,NA,NA,250,18,15342,471,0.38987573378059,60634137600
"267",2020-12-09,1256466,246789,168056,2919,894,-6,196,141,181,29,35,22,1009677,19.6415183538592,NA,NA,549,896,0.379930795847751,0.381251659732672,1445,78733,1.13548321542428,21,2068,1105,11502,1319,682,8388,27,8,161,722,415,2953,NA,NA,NA,NA,NA,NA,NA,5449,2001,0.092014034,6844,13,882,77,156,14,0.128712871,0.087301587,2.025974026,0.125864405,0.164046581,0.105078809,0.086318759,0.074738416,0.167,0.133,0.183,2643485,1261911,268959,248785,20119,8920,2186,2088,15082,5260,1193,1124,116244,53928,12658,11582,1845.85714285714,12921,33891,470,23942,2203,101,13,12921,470,0.381251659732672,60904810521
"268",2020-12-10,1268079,251027,177799,3021,863,-31,189,124,188,29,28,21,1017052,19.7958486813519,NA,NA,4238,7375,0.364935847756824,0.369617162744793,11613,73228,1.17851095209483,102,2088,1124,11582,1367,714,8624,27,8,169,694,402,2789,NA,NA,NA,NA,NA,NA,NA,6168,2242,0.112780577,6876,9,1052,82,138,9,0.070866142,0.077946768,1.682926829,0.113206755,0.149088886,0.091743119,0.080601093,0.069974555,0.173,0.129,0.173,2665315,1268079,271421,251027,20246,8964,2195,2094,15220,5285,1202,1135,117296,54139,12740,11662,2033,14231,38502,502,21830,2462,127,9,14231,502,0.369617162744793,63014554729
"269",2020-12-11,1273644,253067,183211,3120,833,-30,175,128,173,26,24,39,1020577,19.8695239800133,NA,NA,2040,3525,0.366576819407008,0.366776315789474,5565,69856,1.19245304626661,99,2088,1124,11582,1367,714,8624,27,8,169,694,402,2789,NA,NA,NA,NA,NA,NA,NA,5565,2040,0.080244584,6915,16,1153,65,158,10,0.058394161,0.056374675,2.430769231,0.096846797,0.13209246,0.075,0.071455505,0.063249727,0.153,0.131,0.173,2691809,1273644,273547,253067,20520,9009,2211,2110,15378,5312,1212,1144,118449,54324,12805,11731,1911.42857142857,13380,36480,517,26494,2126,274,16,13380,517,0.366776315789474,64042906489
"270",2020-12-12,1278953,255011,187464,3197,820,-13,170,125,165,27,32,40,1023942,19.9390438898067,NA,NA,1944,3365,0.366170653607082,0.366145406215536,5309,67547,1.21396953232564,77,2118,1147,11747,1490,763,9050,32,12,183,596,372,2514,NA,NA,NA,NA,NA,NA,NA,5309,1944,0.083209277,6934,17,820,85,157,9,0.096045198,0.103658537,1.847058824,0.093861485,0.121811591,0.078524125,0.075767472,0.062383613,0.145,0.131,0.148,2717335,1278953,275671,255011,20697,9044,2228,2123,15535,5326,1221,1151,119269,54487,12890,11803,1849.71428571429,12948,35363,532,25526,2124,177,17,12948,532,0.366145406215536,65030610121
"271",2020-12-13,1282699,256248,188927,3212,749,-71,170,95,147,24,19,37,1026451,19.9772510932027,NA,NA,1237,2509,0.330218900160171,0.36552726841137,3746,67321,1.11258002703465,15,2123,1151,11802,1543,792,9235,32,12,184,548,347,2383,NA,NA,NA,NA,NA,NA,NA,3746,1237,0.130015582,6941,4,509,35,33,1,0.070175439,0.068762279,0.942857143,0.09485471,0.118612891,0.075961538,0.071644803,0.066445183,0.137,0.128,0.146,2727603,1282699,277006,256248,20754,9064,2232,2124,15568,5338,1222,1152,119778,59591,12925,11841,1759.85714285714,12319,33702,529,10268,1335,57,4,12319,529,0.36552726841137,65663037504
"272",2020-12-14,1284887,256898,190221,3213,764,15,160,76,143,25,14,18,1027989,19.9938204682591,NA,NA,650,1538,0.297074954296161,0.359765928225951,2188,66677,1.14582239752838,1,2124,1152,11839,1558,800,9294,32,12,184,534,340,2361,NA,NA,NA,NA,NA,NA,NA,2188,650,0.112626344,6952,-3,189,8,24,3,-0.12,0.042328042,3,0.095823891,0.115809337,0.073194857,0.070940171,0.066815145,0.135,0.126,0.142,2733836,1284887,277708,256898,20779,9076,2229,2127,15592,5345,1225,1153,119967,54635,12933,11847,1721.42857142857,12050,33494,496,6233,702,25,-3,12050,496,0.359765928225951,65996582404
"273",2020-12-15,1288885,258250,196145,3273,798,34,166,85,143,26,14,14,1030635,20.03669838659,NA,NA,1352,2646,0.338169084542271,0.354653909756674,3998,62105,1.28492069881652,60,2137,1154,11855,1573,805,9352,35,15,189,529,334,2314,NA,NA,NA,NA,NA,NA,NA,3998,1352,0.06317364,6989,13,920,40,209,4,0.056277056,0.043478261,5.225,0.09040752,0.105363919,0.069556452,0.070950226,0.057142857,0.13,0.112,0.123,2756567,1288885,279144,258250,21010,9116,2242,2141,15801,5358,1229,1157,120887,54765,12973,11883,1715.71428571429,12010,33864,375,22731,1436,231,13,12010,375,0.354653909756674,66693062500
"274",2020-12-16,1294596,260221,200774,3340,776,-22,152,108,148,24,32,27,1034375,20.1005564670368,NA,NA,1971,3740,0.345123445981439,0.352268554943614,5711,59447,1.30536444227631,67,2140,1157,11882,1635,828,9609,38,15,193,467,314,2080,NA,NA,NA,NA,NA,NA,NA,5712,1970,0.074680539,7001,11,778,62,128,6,0.093220339,0.079691517,2.064516129,0.086957749,0.098093727,0.066402379,0.069544365,0.049586777,0.119,0.113,0.12,2785209,1294597,281283,260220,21128,9142,2253,2147,15929,5369,1235,1164,121665,54933,13035,11941,1918.85714285714,13432,38130,421,28642,2139,118,11,13432,421,0.352268554943614,67714968841
"275",2020-12-17,1300446,262198,204840,3450,746,-30,146,95,135,24,14,27,1038248,20.1621597513468,NA,NA,1977,3873,0.337948717948718,0.345135477492508,5850,57358,1.3006032288434,110,2148,1168,11950,1674,856,9804,38,15,195,436,297,1951,NA,NA,NA,NA,NA,NA,NA,5849,1978,0.091476981,7030,9,801,65,118,8,0.046632124,0.081148564,1.815384615,0.083760278,0.093560961,0.062325581,0.069632495,0.049576784,0.11,0.113,0.107,2808581,1300446,283421,262198,21321,9177,2262,2154,16047,5390,1243,1172,122466,55170,13100,12005,1595.85714285714,11171,32367,429,23372,2138,193,9,11171,429,0.345135477492508,68747791204
"276",2020-12-18,1305931,264103,208681,3451,701,-45,136,96,124,23,14,25,1041828,20.2233502382591,NA,NA,1905,3580,0.347310847766636,0.341809396970917,5485,55422,1.26484067698748,1,2155,1172,12004,1716,870,10037,40,15,200,399,287,1767,NA,NA,NA,NA,NA,NA,NA,5485,1905,0.080940565,7059,8,1479,106,160,7,0.033472803,0.071670047,1.509433962,0.083911903,0.088963013,0.056730769,0.072962154,0.045838359,0.104,0.115,0.101,2833970,1305931,285476,264103,21560,9213,2270,2165,16207,5412,1250,1177,123945,55428,13206,12098,1576.57142857143,11036,32287,331,25389,2055,239,8,11036,331,0.341809396970917,69750394609
"277",2020-12-19,1311809,265987,212384,3451,679,-22,140,95,129,25,22,17,1045822,20.2763512066162,NA,NA,1884,3994,0.320517182715209,0.334063793523253,5878,53603,1.26672014626047,0,2169,1178,12114,1757,904,10206,40,15,200,372,259,1708,NA,NA,NA,NA,NA,NA,NA,5878,-98116,0.069726924,7075,13,1098,82,133,6,0.076023392,0.074681239,1.62195122,0.08127992,0.086893143,0.053191489,0.068929685,0.043478261,0.097,0.114,0.097,2862094,1311809,287437,165987,21731,9240,2283,2178,16340,5427,1256,1183,125043,55608,13288,12174,1568,10976,32856,254,28124,1961,171,13,10976,254,0.334063793523253,70749084169
"278",2020-12-20,1315996,267144,213643,3588,639,-40,149,93,114,23,15,30,1048852,20.2997577500236,NA,NA,1157,3030,0.276331502268928,0.327236687989909,4187,53501,1.19437019868787,137,2183,1187,12217,1820,929,10350,40,16,207,323,242,1660,NA,NA,NA,NA,NA,NA,NA,4187,101157,0.106147128,7087,4,501,51,54,6,0.059701493,0.101796407,1.058823529,0.079884425,0.086241791,0.052681992,0.071800208,0.04842615,0.102,0.114,0.097,2874002,1315996,288701,267144,21798,9265,2287,2183,16394,5448,1262,1187,125544,55761,13339,12217,1556.57142857143,10896,33297,376,11908,1264,67,4,10896,376,0.327236687989909,71365916736
"279",2020-12-21,1317905,267727,214722,3589,644,5,142,108,108,26,13,19,1050178,20.3145902018734,NA,NA,583,1326,0.305395495023573,0.327972620994609,1909,53005,1.21497971889444,1,2183,1189,12234,1836,932,10376,40,16,207,307,241,1651,NA,NA,NA,NA,NA,NA,NA,1909,583,0.102945885,7091,6,204,17,23,1,0.206896552,0.083333333,1.352941176,0.07947436,0.08664199,0.061068702,0.073170732,0.046060606,0.095,0.114,0.093,2880248,1317905,289344,267727,21827,9274,2293,2183,16417,5461,1263,1189,125748,55816,13356,12234,1547,10829,33018,376,6246,643,29,6,10829,376,0.327972620994609,71677746529
"280",2020-12-22,1322134,269020,219073,3589,651,7,140,71,110,24,12,10,1053114,20.3474080539491,NA,NA,1293,2936,0.305746039252778,0.323919516376432,4229,49947,1.30338158447955,0,2189,1197,12278,1881,955,10541,40,16,207,268,226,1530,NA,NA,NA,NA,NA,NA,NA,4229,1293,0.044365486,7112,8,1543,47,248,8,0.028673835,0.030460143,5.276595745,0.074897317,0.082191076,0.053832117,0.067145534,0.048611111,0.089,0.107,0.091,2910925,1322134,290705,269020,22106,9295,2301,2189,16665,5472,1271,1197,127291,55963,13403,12278,1538.57142857143,10770,33249,316,30677,1361,279,8,10770,316,0.323919516376432,72371760400
"281",2020-12-23,1328329,271018,222071,3653,644,-7,139,113,109,22,17,18,1057311,20.4029272868393,NA,NA,1998,4197,0.322518159806295,0.320072332730561,6195,48947,1.31570882791591,64,2199,1211,12366,1911,969,10673,40,17,210,248,225,1483,NA,NA,NA,NA,NA,NA,NA,7195,1998,0.073593074,7137,5,1343,90,171,14,0.032894737,0.067014147,1.9,0.07469387,0.08055954,0.046902655,0.065719615,0.055126792,0.087,0.11,0.094,2939800,1329329,292830,271018,22258,9326,2306,2199,16836,5496,1285,1211,128634,56229,13493,12366,1542.42857142857,10797,33733,313,28875,2125,152,5,10797,313,0.320072332730561,73450756324
"282",2020-12-24,1332938,272444,224821,3668,625,-19,127,106,109,22,18,18,1060494,20.4393602703202,NA,NA,1426,3183,0.30939466261662,0.315339160408716,4609,47623,1.31239107154106,15,2208,1224,12402,1934,993,10782,40,17,211,234,214,1409,NA,NA,NA,NA,NA,NA,NA,3609,1426,0.070170623,7144,10,811,43,119,13,0.106382979,0.053020962,2.76744186,0.071485498,0.077419638,0.052376334,0.062473134,0.060572687,0.082,0.109,0.104,2961661,1332938,294364,272444,22352,9343,2316,2208,16955,5512,1298,1224,129445,56352,13536,12402,1463.71428571429,10246,32492,218,21861,1534,94,10,10246,218,0.315339160408716,74225733136
"283",2020-12-25,1337938,273915,225155,3739,600,-25,121,104,114,21,25,20,1064023,20.4729217646857,NA,NA,1471,3529,0.2942,0.306557940450526,5000,48760,1.23051681706317,71,2214,1240,12486,1938,995,10798,41,18,214,235,227,1474,NA,NA,NA,NA,NA,NA,NA,5000,1471,0.070586728,7174,4,1306,86,163,16,0.021164021,0.065849923,1.895348837,0.069757592,0.076618815,0.0509684,0.061122539,0.07025247,0.079,0.11,0.118,2985079,1337938,296017,273915,22541,9382,2320,2214,17118,5537,1314,1240,130751,56557,13622,12486,1401.71428571429,9812,32007,288,23418,1653,189,4,9812,288,0.306557940450526,75029427225
"284",2020-12-26,1339488,274311,227671,3744,558,-42,114,76,103,20,16,27,1065177,20.4787948828209,NA,NA,396,1154,0.255483870967742,0.300733407998844,1550,46640,1.19639794168096,5,2221,1243,12501,1963,1025,10870,41,18,215,217,200,1416,NA,NA,NA,NA,NA,NA,NA,1550,396,0.07620417,7179,6,245,15,36,3,0.230769231,0.06122449,2.4,0.07004333,0.075994848,0.051435407,0.058625903,0.074938575,0.082,0.106,0.122,2990643,1339488,296441,274311,22567,9393,2326,2221,17154,5542,1317,1243,130996,56601,13637,12501,1189.14285714286,8324,27679,293,5564,424,26,6,8324,293,0.300733407998844,75246524721
"285",2020-12-27,1341403,274936,228763,3744,553,-5,109,71,103,17,20,20,1066467,20.4961521630711,NA,NA,625,1290,0.326370757180157,0.306687133467155,1915,46173,1.19766963376865,0,2223,1246,12521,1971,1028,10902,41,18,215,211,200,1404,NA,NA,NA,NA,NA,NA,NA,1915,625,0.106656226,7184,2,283,23,41,4,0.054054054,0.081272085,1.782608696,0.068448946,0.074662708,0.050868486,0.055972101,0.073657928,0.084,0.106,0.123,2997028,1341403,297122,274936,22604,9405,2328,2223,17195,5550,1321,1246,131279,56679,13660,12521,1113.14285714286,7792,25407,156,6385,681,37,2,7792,156,0.306687133467155,75589804096
"286",2020-12-28,1342809,275471,229624,3745,586,33,111,82,113,21,33,23,1067338,20.5145333401846,NA,NA,535,871,0.380512091038407,0.31095406360424,1406,45847,1.27816432918184,1,2226,1248,12554,1977,1032,10925,41,18,215,208,198,1414,NA,NA,NA,NA,NA,NA,NA,1406,535,0.106371191,7187,5,405,37,55,1,0.138888889,0.091358025,1.486486486,0.068366136,0.074420994,0.049200492,0.057446092,0.070828331,0.082,0.109,0.123,3002443,1342809,297698,275471,22640,9410,2333,2226,17250,5562,1322,1248,131684,56771,13697,12554,1106.28571428571,7744,24904,156,5415,576,36,5,7744,156,0.31095406360424,75884271841
"287",2020-12-29,1346710,276946,233725,3745,620,34,117,77,118,19,14,9,1069764,20.564635296389,NA,NA,1475,2426,0.378108177390413,0.322509765625,3901,43221,1.4344878646954,0,2234,1249,12600,2002,1056,11096,41,18,215,191,175,1289,NA,NA,NA,NA,NA,NA,NA,3901,1475,0.059736973,7205,13,1737,53,133,1,0.122641509,0.030512378,2.509433962,0.072713203,0.073952868,0.0703125,0.056606852,0.072423398,0.086,0.109,0.113,3028524,1346710,299256,276946,22746,9431,2346,2234,17383,5570,1323,1249,133421,56885,13750,12600,1132.28571428571,7926,24576,156,26081,1558,106,13,7926,156,0.322509765625,76699086916
"288",2020-12-30,1350876,278593,236657,3812,612,-8,127,105,111,20,19,26,1072283,20.6231363944581,NA,NA,1647,2519,0.395343254920787,0.335964873375615,4166,41936,1.45936665394887,67,2247,1258,12680,2028,1068,11173,44,21,218,175,169,1289,NA,NA,NA,NA,NA,NA,NA,4166,1647,0.083875668,7228,10,881,80,144,9,0.0625,0.090805902,1.8,0.07458331,0.074648074,0.077160494,0.059456598,0.068017366,0.09,0.117,0.124,3049114,1350876,300983,278593,22906,9462,2356,2247,17527,5595,1332,1258,134302,57087,13830,12680,1082.14285714286,7575,22547,159,20590,1727,160,10,7575,159,0.335964873375615,77614059649
"289",2020-12-31,1355010,280298,238977,3822,600,-12,134,76,108,21,20,23,1074712,20.6860465974421,NA,NA,1705,2429,0.412433478471214,0.355835447625951,4134,41321,1.45204617506837,10,2259,1267,12746,2045,1084,11240,44,21,218,170,162,1288,NA,NA,NA,NA,NA,NA,NA,4134,1705,0.123816319,7232,14,719,74,69,9,0.150537634,0.102920723,0.932432432,0.082899943,0.076073155,0.083462133,0.065997131,0.067082683,0.1,0.121,0.138,3064532,1355010,302892,280298,22999,9479,2370,2259,17596,5609,1341,1267,135021,57247,13904,12746,1122,7854,22072,154,15418,1909,93,14,7854,154,0.355835447625951,78566968804
"290",2021-01-01,1359659,282437,241230,3891,575,-25,117,83,113,17,25,20,1077222,20.7726349033103,NA,NA,2139,2510,0.460098946009895,0.392339210901892,4649,41207,1.39539398645861,69,2269,1282,12804,2056,1092,11304,44,22,218,169,168,1282,NA,NA,NA,NA,NA,NA,NA,4649,2139,0.077035427,7242,7,1297,61,239,15,0.048951049,0.047031611,3.918032787,0.083962385,0.075706819,0.09484193,0.061613077,0.058577406,0.104,0.122,0.15,3093973,1359659,305160,282437,23142,9501,2377,2269,17835,5631,1356,1282,136318,57394,13965,12804,1217.42857142857,8522,21721,152,29441,2268,143,7,8522,152,0.392339210901892,79770658969
"291",2021-01-02,1361710,283144,243218,3946,572,-3,119,88,103,18,15,25,1078566,20.7932672889235,NA,NA,707,1344,0.344709897610922,0.397488974889749,2051,39926,1.43265040324601,55,2271,1290,12823,2067,1101,11379,44,23,220,160,166,1224,NA,NA,NA,NA,NA,NA,NA,2051,707,0.088171785,7240,1,449,21,33,9,0.025641026,0.046770601,1.571428571,0.084663192,0.076839498,0.084690554,0.060474788,0.067226891,0.105,0.122,0.155,3102309,1361710,305895,283144,23181,9509,2378,2271,17868,5646,1365,1290,136767,57453,13986,12823,1261.85714285714,8833,22222,202,8336,735,39,1,8833,202,0.397488974889749,80170524736
"292",2021-01-03,1364349,284265,244022,3946,577,5,120,66,98,16,10,15,1080084,20.8352115184605,NA,NA,1121,1518,0.424782114437287,0.406563235422296,2639,40243,1.43378972740601,0,2273,1298,12869,2071,1103,11402,44,23,220,158,172,1247,NA,NA,NA,NA,NA,NA,NA,2639,1121,0.141939252,7260,4,422,55,54,7,0.083333333,0.130331754,0.981818182,0.087736404,0.07771872,0.0864,0.064467005,0.070151307,0.102,0.124,0.16,3110869,1364349,307110,284265,23229,9531,2382,2273,17922,5660,1372,1298,137189,57597,14041,12869,1332.71428571429,9329,22946,202,8560,1215,48,4,9329,202,0.406563235422296,80806590225
"293",2021-01-04,1365704,284858,244620,3946,571,-6,117,60,90,14,7,15,1080846,20.8579604365221,NA,NA,593,762,0.437638376383764,0.410002183882944,1355,40238,1.41905661315175,0,2279,1300,12906,2076,1110,11424,44,23,220,159,167,1262,NA,NA,NA,NA,NA,NA,NA,1354,595,0.126517822,7266,5,347,35,113,3,0.142857143,0.100864553,3.228571429,0.088591763,0.078107302,0.086538462,0.064764183,0.067515924,0.109,0.126,0.158,3115975,1365703,307756,284860,23264,9539,2387,2279,18035,5665,1375,1300,137536,57691,14076,12906,1341,9387,22895,201,5106,646,35,5,9387,201,0.410002183882944,81144080164
"294",2021-01-05,1369643,286677,247719,3992,582,11,115,69,88,12,8,10,1082966,20.9307826930083,NA,NA,1819,2120,0.461792333079462,0.424323027950988,3939,38958,1.49391652548899,46,2291,1310,12946,2094,1123,11536,45,23,220,152,164,1190,NA,NA,NA,NA,NA,NA,NA,3940,1817,0.075911995,7282,11,1067,51,200,11,0.036789298,0.047797563,3.921568627,0.092505594,0.082375879,0.063647491,0.072751833,0.073943662,0.115,0.124,0.156,3140701,1369643,309633,286677,23563,9561,2398,2291,18235,5677,1386,1310,138603,57787,14127,12946,1390.14285714286,9731,22933,247,24726,1877,299,11,9731,247,0.424323027950988,82183702329
"295",2021-01-06,1375685,289466,249869,3999,604,22,116,125,94,12,24,18,1086219,21.0415901896146,NA,NA,2789,3253,0.461602118503807,0.43826837034947,6042,39597,1.52536808344066,7,2304,1337,13039,2105,1134,11594,44,23,220,155,180,1225,NA,NA,NA,NA,NA,NA,NA,6037,2786,0.116810362,7308,15,1010,172,211,26,0.094339623,0.17029703,1.226744186,0.099266847,0.087331358,0.069852941,0.088307287,0.087051143,0.12,0.128,0.16,3165870,1375680,312573,289463,23722,9599,2413,2304,18446,5712,1412,1337,139613,58011,14299,13039,1553.28571428571,10873,24809,187,25169,2940,159,15,10873,187,0.43826837034947,83790565156
